lon,lat,organization,,state,region,website,members
-76.440785,39.28409,Back River Restoration Committee,,MD,"Essex, MD",http://www.savebackriver.org,0 - 499
-76.94109,38.941257,Anacostia Wastershed Society,,MD,Regional,http://www.anacostiaws.org,500 - 999
-77.21999,39.120335,Izaak Walton League of America,,MD,National,http://www.iwla.org,10000 - 49999
-76.877861,38.914045,Friends of Quincy Run ,,MD,"Cheverly, MD",https://www.friendsofquincyrun.org/,0 - 499
-75.1517,39.949652,Mid-Atlantic Youth Anglers & Outdoors Program,,PA,Regional,http://www.midatlanticyouthanglers.com,5000 - 9999
-76.060481,41.563409,Mehoopany Creek Watershed Association,,PA,"Mehoopany, PA",http://www.mehoopanycreek.org/,Unknown or Non Applicable
-77.419945,37.532324,Partnership for Smarter Growth,,VA,"Richmond, VA",http://www.psgrichmond.org/,1000 - 4999
-76.07523,38.775175,Midshore Riverkeeper Conservancy,,MD,"Easton, MD",http://www.midshoreriverkeeper.org/,1000 - 4999
-76.508563,38.844187,West/Rhode Riverkeeper,,MD,"Shady Side, MD",http://www.westrhoderiverkeeper.org/,1000 - 4999
-77.067332,39.003311,Audubon Naturalist Society,,MD,"Chevy Chase, MD",http://www.audubonnaturalist.org,5000 - 9999
-77.410461,39.415241,Friends of Frederick County,,MD,"Frederick, MD",http://www.friendsoffrederickcounty.org,500 - 999
-75.569659,38.36911,Wicomico Environmental Trust,,MD,"Salisbury, MD",http://www.wicomicoenvironment.org/,0 - 499
-77.042655,38.686954,Alice Ferguson Foundation,,MD,"Accokeek, MD",http://www.fergusonfoundation.org/,Unknown or Non Applicable
-76.494142,38.977405,Chesapeake Legal Alliance,,MD,Regional,http://www.chesapeakelegal.org,0 - 499
-77.031178,38.897105,Theodore Roosevelt Conservation Partnership,,DC,National,http://www.trcp.org,10000 - 49999
-79.941426,37.27097,Friends of the Rivers of Virginia,,VA,"Roanoke, VA",http://www.forva.org,0 - 499
-76.604605,39.39792,NeighborSpace of Baltimore County,,MD,"Towson, MD",http://www.neighborspacebaltimorecounty.org,1000 - 4999
-76.285872,36.850768,Wetlands Watch,,VA,"Norfolk, VA",http://www.wetlandswatch.org/,0 - 499
-75.88825,38.965967,Chesapeake Conservation Landscaping Council,,MD,"Ridgely, MD",http://www.chesapeakelandscape.org/,Unknown or Non Applicable
-76.867117,40.925413,Susquehanna Greenway Partnership,,PA,"Lewisburg, PA",http://www.susquehannagreenway.org,1000 - 4999
-77.010999,38.944918,Interfaith Power and Light,,DC,Regional,http://www.gwipl.org,5000 - 9999
-78.758325,41.121011,Nature Abounds,,PA,National,http://www.natureabounds.org,1000 - 4999
-76.998638,38.87545,Anacostia Riverkeeper,,DC,Regional,http://www.anacostiriverkeeper.org,0 - 499
-74.011631,40.706281,New York League of Conservation Voters,,NY,"New York, NY",http://nylcv.org/,10000 - 49999
-76.510979,39.001229,Upstream Alliance,,MD,Regional,http://www.upstreamalliance.org,0 - 499
-77.062202,38.770387,Friends of Dyke Marsh,,VA,"Alexandria, VA",http://www.fodm.org/,0 - 499
-74.902819,42.804424,Otsego County Conservation Association,,NY,"Cooperstown, NY",http://occainfo.org/,1000 - 4999
-76.576055,39.292048,Audubon Maryland/DC,,MD,Regional,http://md.audubon.org,10000 - 49999
-77.060882,39.034521,Pick Up America,,MD,National,http://www.pickupamerica.org,0 - 499
-74.828216,41.900366,Water Defense,,NY,"Livingston Manor, NY",https://waterdefense.org/,1000 - 4999
-76.522159,39.034948,"Growth Action Network of Anne Arundel County, Inc. ",,MD,"Arnold, MD",http://www.growthaction.net,0 - 499
-76.523763,39.360853,Blue Water Baltimore,,MD,"Baltimore, MD",http://bluewaterbaltimore.org,5000 - 9999
-75.841775,39.510346,Friends of the Bohemia,,MD,"Chesapeake City, MD",http://www.friendsofthebohemia.org/,0 - 499
-76.618165,38.239446,Patuxent Tidewater Land Trust,,MD,"Leonardtown, MD",http://www.patuxent-tidewater.org,0 - 499
-75.896669,41.284251,Pennsylvania Organization for Watersheds and Rivers,,PA,"Luzerne, PA",http://www.pawatersheds.org,Unknown or Non Applicable
-76.569862,39.324158,Friends of Herring Run Parks,,MD,"Baltimore, MD",http://thefhrp.org/,0 - 499
-77.416931,39.145939,Montgomery Countryside Alliance,,MD,"Poolesville, MD",http://mocoalliance.org/,500 - 999
-76.32364,40.036726,Lancaster County Conservancy ,,PA,"Lancaster, PA",http://www.lancasterconservancy.org/,1000 - 4999
-76.066572,39.209112,Chester River Association,,MD,"Chestertown, MD",http://www.chesterriverassociation.org,1000 - 4999
-76.267988,42.142961,Upper Susquehanna Coalition,,NY,"Owego, NY",http://www.u-s-c.org/,0 - 499
-81.598515,38.328228,West Virginia Rivers Coalition,,WV,"Charleston, WV",http://www.wvrivers.org/,1000 - 4999
-76.490139,38.979668,Maryland League of Conservation Voters,,MD,"Annapolis, MD",http://www.mdlcv.org,10000 - 49999
-77.444202,37.542965,Scenic Virginia,,VA,"Richmond, VA",http://www.scenicvirginia.org,Unknown or Non Applicable
-77.012856,38.893315,Southern Environmental Law Center,,DC,Regional,http://www.southernenvironment.org,1000 - 4999
-76.615487,39.299802,Maryland Environmental Health Network,,MD,"Baltimore, MD",http://www.mdehn.org/,Unknown or Non Applicable
-76.345221,37.029868,Citizens for a Fort Monroe National Park,,VA,"Hampton, VA",http://www.cfmnp.org/,500 - 999
-76.490565,39.966893,Stewards of the Lower Susquehanna/Lower Susquehanna Riverkeeper,,PA,"Wrightsville, PA",http://www.lowersusquehannariverkeeper.com,0 - 499
-76.600501,39.28365,Waterfront Partnership of Baltimore,,MD,"Baltimore, MD",http://waterfrontpartnership.org/,Unknown or Non Applicable
-76.066333,39.041778,Queen Anne's Conservation Association,,MD,"Centreville, MD",http://www.qaca.org/,Unknown or Non Applicable
-76.296215,36.836605,Elizabeth River Project,,VA,"Portsmouth, VA",http://www.elizabethriver.org,1000 - 4999
-76.605453,39.399618,Baltimore Green Works,,MD,"Baltimore, MD",http://baltimoregreenworks.com/,5000 - 9999
-76.944141,38.949808,Friends of Lower Beaverdam Creek,,MD,"Cheverly , MD",http://www.friendsoflowerbeaverdam.org/,0 - 499
-77.017576,38.901048,Center for Progressive Reform,,DC,National,http://www.progressivereform.org,0 - 499
-76.538903,38.984584,Ducks Unlimited,,MD,National,http://www.ducks.org,50000 +
-79.406711,39.407874,Citizen Shale,,MD,"Oakland, MD",http://citizenshale.org,0 - 499
-77.158034,38.975388,Friends of Cabin John Creek,,MD,"Cabin John, MD",http://www.cabinjohn.org/focjcw/,0 - 499
-77.439035,37.540128,Richmond Audubon Society,,VA,"Richmond, VA",http://www.richmondaudubon.org/,0 - 499
-74.886274,41.808421,Catskill Mountainkeeper,,NY,"Youngsville, NY",http://www.catskillmountainkeeper.org,1000 - 4999
