members,organization,region,state,website,lon,lat
10000 - 49999,Izaak Walton League of America,National,MD,http://www.iwla.org,-77.21999,39.120335
10000 - 49999,Theodore Roosevelt Conservation Partnership,National,DC,http://www.trcp.org,-77.031178,38.897105
1000 - 4999,Nature Abounds,National,PA,http://www.natureabounds.org,-78.758325,41.121011
0 - 499,Pick Up America,National,MD,http://www.pickupamerica.org,-77.060882,39.034521
0 - 499,Center for Progressive Reform,National,DC,http://www.progressivereform.org,-77.017576,38.901048
50000 +,Ducks Unlimited,National,MD,http://www.ducks.org,-76.538903,38.984584
50000 +,Earthworks,National,DC,http://www.earthworksaction.org,-77.03748,38.90217
500 - 999,River Network,National,MD,http://www.rivernetwork.org,-77.54471,39.443712
50000 +,Civil War Trust,National,DC,http://www.civilwar.org,-77.034588,38.905382
50000 +,Restore America's Estuaries,National,VA,http://www.estuaries.org,-77.086674,38.89004
10000 - 49999,American Canoe Association,National,VA,http://www.americancanoe.org,-77.455437,38.299561
50000 +,Natural Resources Defense Council,National,DC,http://www.nrdc.org,-77.034591,38.904925
10000 - 49999,Earth Force,National,VA,http://www.earthforce.org,-77.058518,38.823777
50000 + ,American Rivers,National,DC,http://www.americanrivers.org,-77.031893,38.904081
50000 +,Environmental Working Group,National,DC,http://www.ewg.org,-77.033642,38.916986
50000 +,Environment America,National,DC,http://www.environmentamerica.org,-77.020223,38.892821
50000 +,Defenders of Wildlife,National,DC,http://www.defenders.org,-77.038517,38.90493
50000 +,Clean Water Action,National,DC,http://www.cleanwateraction.org,-77.055784,38.900701
50000 +,National Parks Conservation Association,National,DC,http://www.npca.org,-77.019589,38.899372
10000 - 49999,National Aquarium,National,MD,https://aqua.org/,-76.607142,39.284824
50000 +,National Wildlife Federation,National,VA,http://www.nwf.org,-77.330973,38.951822
,Maryland Bass Federation Nation,National,MD,http://www.mdbass.com/,-76.492183,38.978445
0 - 499,Land Trust Alliance,National,MD,https://www.landtrustalliance.org/,-76.896933,39.056842
,NatureBridge,National,MD,https://naturebridge.org/,-77.094709,38.984652
,Conservation Montgomery,National,MD,http://conservationmontgomery.org,-77.030000,39.000000
500 - 999,Maryland Native Plant Society,National,MD,https://www.mdflora.org/,-77.000000,39.080000
0 - 499,Neighbors of the Northwest Branch ,National,MD,http://www.neighborsnwb.org/,-77.000000,39.080000
10000 - 49999,Rachel Carson Council,National,MD,https://rachelcarsoncouncil.org/,-77.1182533,38.9963529
