lon,lat,organization,,state,region,website,members
-76.440785,39.28409,Back River Restoration Committee,,MD,"Essex, MD",http://www.savebackriver.org,0 - 499
-76.877861,38.914045,Friends of Quincy Run ,,MD,"Cheverly, MD",https://www.friendsofquincyrun.org/,0 - 499
-76.060481,41.563409,Mehoopany Creek Watershed Association,,PA,"Mehoopany, PA",http://www.mehoopanycreek.org/,Unknown or Non Applicable
-77.419945,37.532324,Partnership for Smarter Growth,,VA,"Richmond, VA",http://www.psgrichmond.org/,1000 - 4999
-76.07523,38.775175,Midshore Riverkeeper Conservancy,,MD,"Easton, MD",http://www.midshoreriverkeeper.org/,1000 - 4999
-76.508563,38.844187,West/Rhode Riverkeeper,,MD,"Shady Side, MD",http://www.westrhoderiverkeeper.org/,1000 - 4999
-77.067332,39.003311,Audubon Naturalist Society,,MD,"Chevy Chase, MD",http://www.audubonnaturalist.org,5000 - 9999
-77.410461,39.415241,Friends of Frederick County,,MD,"Frederick, MD",http://www.friendsoffrederickcounty.org,500 - 999
-75.569659,38.36911,Wicomico Environmental Trust,,MD,"Salisbury, MD",http://www.wicomicoenvironment.org/,0 - 499
-77.042655,38.686954,Alice Ferguson Foundation,,MD,"Accokeek, MD",http://www.fergusonfoundation.org/,Unknown or Non Applicable
-76.604605,39.39792,NeighborSpace of Baltimore County,,MD,"Towson, MD",http://www.neighborspacebaltimorecounty.org,1000 - 4999
-76.285872,36.850768,Wetlands Watch,,VA,"Norfolk, VA",http://www.wetlandswatch.org/,0 - 499
-75.88825,38.965967,Chesapeake Conservation Landscaping Council,,MD,"Ridgely, MD",http://www.chesapeakelandscape.org/,Unknown or Non Applicable
-76.867117,40.925413,Susquehanna Greenway Partnership,,PA,"Lewisburg, PA",http://www.susquehannagreenway.org,1000 - 4999
-77.062202,38.770387,Friends of Dyke Marsh,,VA,"Alexandria, VA",http://www.fodm.org/,0 - 499
-74.902819,42.804424,Otsego County Conservation Association,,NY,"Cooperstown, NY",http://occainfo.org/,1000 - 4999
-76.522159,39.034948,"Growth Action Network of Anne Arundel County, Inc. ",,MD,"Arnold, MD",http://www.growthaction.net,0 - 499
-76.523763,39.360853,Blue Water Baltimore,,MD,"Baltimore, MD",http://bluewaterbaltimore.org,5000 - 9999
-75.841775,39.510346,Friends of the Bohemia,,MD,"Chesapeake City, MD",http://www.friendsofthebohemia.org/,0 - 499
-76.618165,38.239446,Patuxent Tidewater Land Trust,,MD,"Leonardtown, MD",http://www.patuxent-tidewater.org,0 - 499
-75.896669,41.284251,Pennsylvania Organization for Watersheds and Rivers,,PA,"Luzerne, PA",http://www.pawatersheds.org,Unknown or Non Applicable
-76.569862,39.324158,Friends of Herring Run Parks,,MD,"Baltimore, MD",http://thefhrp.org/,0 - 499
-77.416931,39.145939,Montgomery Countryside Alliance,,MD,"Poolesville, MD",http://mocoalliance.org/,500 - 999
-76.32364,40.036726,Lancaster County Conservancy ,,PA,"Lancaster, PA",http://www.lancasterconservancy.org/,1000 - 4999
-76.066572,39.209112,Chester River Association,,MD,"Chestertown, MD",http://www.chesterriverassociation.org,1000 - 4999
-76.267988,42.142961,Upper Susquehanna Coalition,,NY,"Owego, NY",http://www.u-s-c.org/,0 - 499
-76.345221,37.029868,Citizens for a Fort Monroe National Park,,VA,"Hampton, VA",http://www.cfmnp.org/,500 - 999
-76.490565,39.966893,Stewards of the Lower Susquehanna/Lower Susquehanna Riverkeeper,,PA,"Wrightsville, PA",http://www.lowersusquehannariverkeeper.com,0 - 499
-76.600501,39.28365,Waterfront Partnership of Baltimore,,MD,"Baltimore, MD",http://waterfrontpartnership.org/,Unknown or Non Applicable
-76.066333,39.041778,Queen Anne's Conservation Association,,MD,"Centreville, MD",http://www.qaca.org/,Unknown or Non Applicable
-76.296215,36.836605,Elizabeth River Project,,VA,"Portsmouth, VA",http://www.elizabethriver.org,1000 - 4999
-76.605453,39.399618,Baltimore Green Works,,MD,"Baltimore, MD",http://baltimoregreenworks.com/,5000 - 9999
-76.944141,38.949808,Friends of Lower Beaverdam Creek,,MD,"Cheverly , MD",http://www.friendsoflowerbeaverdam.org/,0 - 499
-77.158034,38.975388,Friends of Cabin John Creek,,MD,"Cabin John, MD",http://www.cabinjohn.org/focjcw/,0 - 499
-77.439035,37.540128,Richmond Audubon Society,,VA,"Richmond, VA",http://www.richmondaudubon.org/,0 - 499
-78.506086,38.036345,Rivanna Conservation Alliance ,,VA,"Charlottesville, VA",http://www.rivannariver.org,500 - 999
-77.096931,38.990976,Bethesda Green,,MD,"Bethesda, MD",http://bethesdagreen.org/,10000 - 49999
-77.747051,38.907337,Shenandoah Valley Network,,VA,"The Plains, VA",http://www.svnva.org,Unknown or Non Applicable
-75.945765,37.352636,Citizens for a Better Eastern Shore,,VA,"Eastville, VA",http://www.cbes.org,500 - 999
-76.01598,39.683758,Cecil Land Use Alliance,,MD,"Rising Sun, MD",http://cecillanduse.org/,0 - 499
-79.549751,37.867192,Virginia Wilderness Committee,,VA,"Lexington, VA",http://www.vawilderness.org/,0 - 499
-76.076403,38.774209,Chesapeake Wildlife Heritage,,MD,"Easton, MD",http://www.cheswildlife.org,1000 - 4999
-76.434317,38.18724,St. Mary's River Watershed Association,,MD,"St. Mary's City, MD",http://www.smrwa.org,500 - 999
-77.034951,38.903974,DC Environmental Network,,DC,"Washington, DC",http://www.dcen.net,5000 - 9999
-76.552408,38.955335,South River Federation,,MD,"Edgewater, MD",http://www.southriverfederation.net,500 - 999
-76.885275,40.26453,Citizens for Pennsylvania's Future,,PA,"Harrisburg, PA",http://www.pennfuture.org/,Unknown or Non Applicable
-76.613014,39.303874,1000 Friends of Maryland,,MD,"Baltimore, MD",http://www.friendsofmd.org,5000 - 9999
-76.663442,39.589231,Gunpowder Riverkeeper,,MD,"Monkton, MD",http://www.gunpowderriverkeeper.org,Unknown or Non Applicable
-77.735549,38.968721,Goose Creek Association,,VA,"Middleburg, VA",http://www.goosecreek.org/,500 - 999
-76.629387,39.32228,Parks and People Foundation,,MD,"Baltimore, MD",http://parksandpeople.org/,5000 - 9999
-77.100109,38.968221,Little Falls Watershed Alliance,,MD,"Chevy Chase, MD",http://www.lfwa.org,1000 - 4999
-76.834848,39.238111,Earth Forum of Howard County,,MD,"Columbia, MD",http://www.firstpreshc.org/earth-forum,0 - 499
-76.527415,39.013503,Severn Riverkeeper,,MD,"Annapolis, MD",http://www.severnriver.org/,500 - 999
-76.496712,39.977627,Susquehanna Heritage ,,PA,"Wrightsville, PA",http://www.susquehannaheritage.org/,Unknown or Non Applicable
-79.491906,38.671549,Allegheny Highlands Alliance,,WV,"Circleville, WV",http://alleghenyhighlandsalliance.org/Our_Mission/,0 - 499
-78.292509,39.620092,Friends of the Cacapon ,,WV,"Great Cacapon, WV",http://cacaponriver.org/,Unknown or Non Applicable
-76.097987,36.903882,Lynnhaven River NOW,,VA,"Virginia Beach, VA",http://www.lynnhavenrivernow.org/,5000 - 9999
-76.491009,38.935983,Back Creek Conservancy ,,MD,"Annapolis, MD",http://backcreekconservancy.org/bcc/,0 - 499
-77.921457,40.812089,ClearWater Conservancy,,PA,"State College, PA",http://www.clearwaterconservancy.org/,500 - 999
-76.17836,39.655418,Lower Susquehanna Heritage Greenway,,MD,"Darlington, MD",http://www.lshgreenway.org/,1000 - 4999
-75.903687,41.210369,Eastern Pennsylvania Coalition for Abandoned Mine Reclamation ,,PA,"Ashley, PA",http://www.epcamr.org,0 - 499
-75.936077,37.349638,Virginia Eastern Shorekeeper ,,VA,"Eastville, VA",http://www.shorekeeper.org/,1000 - 4999
-77.008587,40.214256,Paxton Creek Watershed and Education Association,,PA,"Harrisburg, PA",http://www.paxtoncreek.org/,Unknown or Non Applicable
-76.94126,40.956465,Middle Susquehanna Riverkeeper,,PA,"Lewisburg, PA",http://www.middlesusquehannariverkeeper.org/,Unknown or Non Applicable
