members,organization,region,state,website,lon,lat
0 - 499,Back River Restoration Committee,"Essex ,MD",MD,http://www.savebackriver.org,-76.440785,39.28409
0 - 499,Friends of Quincy Run ,"Cheverly ,MD",MD,https://www.friendsofquincyrun.org/,-76.877861,38.914045
,Mehoopany Creek Watershed Association,"Mehoopany ,PA",PA,http://www.mehoopanycreek.org/,-76.060481,41.563409
1000 - 4999,Partnership for Smarter Growth,"Richmond ,VA",VA,http://www.psgrichmond.org/,-77.419945,37.532324
1000 - 4999,West/Rhode Riverkeeper,"Shady Side ,MD",MD,http://www.westrhoderiverkeeper.org/,-76.508563,38.844187
5000 - 9999,Audubon Naturalist Society,"Chevy Chase ,MD",MD,http://www.audubonnaturalist.org,-77.067332,39.003311
500 - 999,Friends of Frederick County,"Frederick ,MD",MD,http://www.friendsoffrederickcounty.org,-77.410461,39.415241
0 - 499,Wicomico Environmental Trust,"Salisbury ,MD",MD,http://www.wicomicoenvironment.org/,-75.569659,38.36911
,Alice Ferguson Foundation,"Accokeek ,MD",MD,http://www.fergusonfoundation.org/,-77.042655,38.686954
1000 - 4999,NeighborSpace of Baltimore County,"Towson ,MD",MD,http://www.neighborspacebaltimorecounty.org,-76.604605,39.39792
0 - 499,Wetlands Watch,"Norfolk ,VA",VA,http://www.wetlandswatch.org/,-76.285872,36.850768
,Chesapeake Conservation Landscaping Council,"Ridgely ,MD",MD,http://www.chesapeakelandscape.org/,-75.88825,38.965967
1000 - 4999,Susquehanna Greenway Partnership,"Lewisburg ,PA",PA,http://www.susquehannagreenway.org,-76.867117,40.925413
0 - 499,Friends of Dyke Marsh,"Alexandria ,VA",VA,http://www.fodm.org/,-77.062202,38.770387
1000 - 4999,Otsego County Conservation Association,"Cooperstown ,NY",NY,http://occainfo.org/,-74.902819,42.804424
0 - 499,"Growth Action Network of Anne Arundel County, Inc. ","Arnold ,MD",MD,http://www.growthaction.net,-76.522159,39.034948
5000 - 9999,Blue Water Baltimore,"Baltimore ,MD",MD,http://bluewaterbaltimore.org,-76.523763,39.360853
0 - 499,Friends of the Bohemia,"Chesapeake City ,MD",MD,http://www.friendsofthebohemia.org/,-75.841775,39.510346
0 - 499,Patuxent Tidewater Land Trust,"Leonardtown ,MD",MD,http://www.patuxent-tidewater.org,-76.618165,38.239446
,Pennsylvania Organization for Watersheds and Rivers,"Luzerne ,PA",PA,http://www.pawatersheds.org,-75.896669,41.284251
0 - 499,Friends of Herring Run Parks,"Baltimore ,MD",MD,http://thefhrp.org/,-76.569862,39.324158
500 - 999,Montgomery Countryside Alliance,"Poolesville ,MD",MD,http://mocoalliance.org/,-77.416931,39.145939
1000 - 4999,Lancaster County Conservancy ,"Lancaster ,PA",PA,http://www.lancasterconservancy.org/,-76.32364,40.036726
0 - 499,Upper Susquehanna Coalition,"Owego ,NY",NY,http://www.u-s-c.org/,-76.267988,42.142961
500 - 999,Citizens for a Fort Monroe National Park,"Hampton ,VA",VA,http://www.cfmnp.org/,-76.345221,37.029868
0 - 499,Stewards of the Lower Susquehanna/Lower Susquehanna Riverkeeper,"Wrightsville ,PA",PA,http://www.lowersusquehannariverkeeper.com,-76.490565,39.966893
,Waterfront Partnership of Baltimore,"Baltimore ,MD",MD,http://waterfrontpartnership.org/,-76.600501,39.28365
,Queen Anne's Conservation Association,"Centreville ,MD",MD,http://www.qaca.org/,-76.066333,39.041778
1000 - 4999,Elizabeth River Project,"Portsmouth ,VA",VA,http://www.elizabethriver.org,-76.296215,36.836605
5000 - 9999,Baltimore Green Works,"Baltimore ,MD",MD,http://baltimoregreenworks.com/,-76.605453,39.399618
0 - 499,Friends of Lower Beaverdam Creek,"Cheverly  ,MD",MD,http://www.friendsoflowerbeaverdam.org/,-76.944141,38.949808
0 - 499,Friends of Cabin John Creek,"Cabin John ,MD",MD,http://www.cabinjohn.org/focjcw/,-77.158034,38.975388
0 - 499,Richmond Audubon Society,"Richmond ,VA",VA,http://www.richmondaudubon.org/,-77.439035,37.540128
500 - 999,Rivanna Conservation Alliance ,"Charlottesville ,VA",VA,http://www.rivannariver.org,-78.506086,38.036345
10000 - 49999,Bethesda Green,"Bethesda ,MD",MD,http://bethesdagreen.org/,-77.096931,38.990976
,Shenandoah Valley Network,"The Plains ,VA",VA,http://www.svnva.org,-77.747051,38.907337
500 - 999,Citizens for a Better Eastern Shore,"Eastville ,VA",VA,http://www.cbes.org,-75.945765,37.352636
0 - 499,Cecil Land Use Alliance,"Rising Sun ,MD",MD,http://cecillanduse.org/,-76.01598,39.683758
0 - 499,Virginia Wilderness Committee,"Lexington ,VA",VA,http://www.vawilderness.org/,-79.549751,37.867192
