created_date,start_date,action_network:sponsor/title,action_network:sponsor/browser_url,location/venue,location/address_lines/0,location/locality,location/region,location/postal_code,location/country,location/location/latitude,location/location/longitude,location/location/accuracy,title,name,browser_url
2017-01-21T02:07:57Z,2017-01-21T10:00:00Z,"Women's March - Elkton, OR",https://actionnetwork.org/api/v2/groups/womens-march-elkton-or,Lodge Hall,247 1st Street,Elkton,OR,97436,US,43.63584534,-123.5669819,Rooftop,"Women's March - Elkton, OR","Women's March - Elkton, OR",https://actionnetwork.org/events/womens-march-elkton-or
2017-01-21T02:07:57Z,2017-01-21T11:00:00Z,Friends of the Chemung River Watershed,http://www.chemungriverfriends.org,,111 N. Main Street,Elmira,NY,14901-2921,US,42.0880082,-76.8076575,Rooftop,Friends of the Chemung River Watershed,Friends of the Chemung River Watershed,https://actionnetwork.org/api/v2/groups/womens-march-elkton-or
2017-01-21T02:07:57Z,2017-01-21T11:00:00Z,Upper Susquehanna Coalition,http://www.u-s-c.org/,,183 Corporate Dr,Owego,NY,13827-3249,US,42.1429613,-76.2679887,Rooftop,Upper Susquehanna Coalition,Upper Susquehanna Coalition,http://www.chemungriverfriends.org
2017-01-21T02:07:56Z,2017-01-21T09:00:00Z,Catskill Mountainkeeper,www.catskillmountainkeeper.org,,P.O. Box 381,Youngsville,NY,12791-0381,US,41.8084219,-74.8862745,Rooftop,Catskill Mountainkeeper,Catskill Mountainkeeper,http://www.u-s-c.org/
2017-01-21T02:07:55Z,2017-01-21T12:00:00Z,"Sidney Center Improvement Group, Inc.",http://scigny.blogspot.com/,,PO Box 456,Sidney Center,NY,13839-0456,US,42.2906379,-75.2557286,Rooftop,"Sidney Center Improvement Group, Inc.","Sidney Center Improvement Group, Inc.",www.catskillmountainkeeper.org
2017-01-21T02:07:54Z,2017-01-21T12:00:00Z,Environment New York,http://www.environmentnewyork.org,,"28 W 39th Street, Ste 202",New York,NY,10018-2183,US,40.7519937,-73.9838392,Rooftop,Environment New York,Environment New York,http://scigny.blogspot.com/
2017-01-21T02:07:53Z,2017-01-21T05:00:00Z,New York Council Trout Unlimited ,http://www.nytu.org/,,PO Box 815,Port Ewen,NY,12466-0815,US,41.9053703,-73.976249,Rooftop,New York Council Trout Unlimited ,New York Council Trout Unlimited ,http://www.environmentnewyork.org
2017-01-21T02:07:53Z,2017-01-22T02:00:00Z,Otsego County Conservation Association,http://occainfo.org/,,7207 State Highway 80,Cooperstown,NY,13326-5931,US,42.804424,-74.9028193,Rooftop,Otsego County Conservation Association,Otsego County Conservation Association,http://www.nytu.org/
2017-01-21T02:07:53Z,2017-01-21T04:00:00Z,Otsego Land Trust,http://otsegolandtrust.org/,,101 Main Street,Cooperstown,NY,13326-0173,US,42.700009,-74.925263,Rooftop,Otsego Land Trust,Otsego Land Trust,http://occainfo.org/
2017-01-21T02:07:52Z,2017-01-21T09:00:00Z,Environmental Advocates of New York,http://www.eany.org/,,353 Hamilton St,Albany,NY,12210-1709,US,42.6522314,-73.7648339,Rooftop,Environmental Advocates of New York,Environmental Advocates of New York,http://otsegolandtrust.org/
2017-01-21T02:07:52Z,2017-01-22T08:30:00Z,Butternut Valley Alliance,http://butternutvalleyalliance.org/,,230 Dockstader Rd,New Lisbon,NY,13415,US,42.6029033,-75.205764,Rooftop,Butternut Valley Alliance,Butternut Valley Alliance,http://www.eany.org/
2017-01-21T02:07:51Z,2017-01-20T10:00:00Z,New York League of Conservation Voters,http://nylcv.org/,,30 Broad St # 30,New York,NY,10004,US,40.7062816,-74.0116317,Rooftop,New York League of Conservation Voters,New York League of Conservation Voters,http://butternutvalleyalliance.org/
2017-01-21T02:07:50Z,2017-01-21T10:00:00Z,Water Defense,https://waterdefense.org/,,PO Box 204,Livingston Manor,NY,12758,US,41.9003667,-74.8282167,Rooftop,Water Defense,Water Defense,http://nylcv.org/
2017-01-21T02:07:50Z,2017-01-21T10:45:00Z,Delaware Nature Society,http://www.delawarenaturesociety.org/,,3511 Barely Mill Road,Hockessin,DE,19707-0700,US,39.7981012,-75.6603312,Rooftop,Delaware Nature Society,Delaware Nature Society,https://waterdefense.org/
2017-01-21T02:07:50Z,2017-01-21T10:00:00Z,Nanticoke Watershed Preservation Group,www.nanticokewpg.com,,4408 Woodland Church Road ,Seaford,DE,19973-4763,US,38.586259,-75.6715679,Rooftop,Nanticoke Watershed Preservation Group,Nanticoke Watershed Preservation Group,http://www.delawarenaturesociety.org/
2017-01-21T02:07:49Z,2017-01-21T12:00:00Z,Delaware Center for Horticulture,TheDCH.org,,1810 North Dupont Street,Wilmington,DE,19806-3308,US,39.7588048,-75.560408,Rooftop,Delaware Center for Horticulture,Delaware Center for Horticulture,www.nanticokewpg.com
2017-01-20T03:19:18Z,2017-01-21T08:00:00Z,DC Environmental Network,http://www.dcen.net,,"1100 15th Street, NW, 11th Floor ",Washington,DC,20005-1707,US,38.9039742,-77.0349519,Rooftop,DC Environmental Network,DC Environmental Network,TheDCH.org
2017-01-20T03:19:18Z,2017-01-21T15:00:00Z,Groundwork Anacostia River DC,http://groundworkdc.org/,,3939 Benning Rd. NE,Washington,DC,20019,US,38.8944141,-76.9476007,Rooftop,Groundwork Anacostia River DC,Groundwork Anacostia River DC,http://www.dcen.net
2017-01-20T03:19:18Z,2017-01-21T11:00:00Z,Surfrider Foundation - DC Chapter,https://dc.surfrider.org/,,PO Box 18252,Washington,DC,20036-8252,US,39.159867,-77.419075,Rooftop,Surfrider Foundation - DC Chapter,Surfrider Foundation - DC Chapter,http://groundworkdc.org/
2017-01-20T03:19:17Z,2017-01-21T10:00:00Z,Institute for Local Self-Reliance,www.islr.org,,"2001 S Street, NW Suite 570",Washington,DC,20009-1176,US,38.9143011,-77.0452019,Rooftop,Institute for Local Self-Reliance,Institute for Local Self-Reliance,https://dc.surfrider.org/
2017-01-20T03:19:16Z,2017-01-21T15:30:00Z,Earth Conservation Corps,http://www.earthconservationcorps.org/,,2000 Half Street SW,Washington,DC,20024,US,38.8720248,-77.0106635,Rooftop,Earth Conservation Corps,Earth Conservation Corps,www.islr.org
