lon,lat,organization,,state,region,website,members
-76.94109,38.941257,Anacostia Wastershed Society,,MD,Regional,http://www.anacostiaws.org,500 - 999
-75.1517,39.949652,Mid-Atlantic Youth Anglers & Outdoors Program,,PA,Regional,http://www.midatlanticyouthanglers.com,5000 - 9999
-76.494142,38.977405,Chesapeake Legal Alliance,,MD,Regional,http://www.chesapeakelegal.org,0 - 499
-77.010999,38.944918,Interfaith Power and Light,,DC,Regional,http://www.gwipl.org,5000 - 9999
-76.998638,38.87545,Anacostia Riverkeeper,,DC,Regional,http://www.anacostiriverkeeper.org,0 - 499
-76.510979,39.001229,Upstream Alliance,,MD,Regional,http://www.upstreamalliance.org,0 - 499
-76.576055,39.292048,Audubon Maryland/DC,,MD,Regional,http://md.audubon.org,10000 - 49999
-77.012856,38.893315,Southern Environmental Law Center,,DC,Regional,http://www.southernenvironment.org,1000 - 4999
-76.224516,38.780263,Environmental Concern,,MD,Regional,http://www.wetland.org,Unknown or Non Applicable
-77.01,38.979999,Waterkeepeers Chesapeake,,MD,Regional,http://www.waterkeeperschesapeake.com,1000 - 4999
-78.474691,38.031063,Appalachian Voices,,VA,Regional,http://appvoices.org/,5000 - 9999
-77.485158,39.595565,Envision Frederick County ,,MD,Regional,https://envisionfrederickcounty.org/,5000 - 9999
-76.610635,39.400464,Mid-Atlantic Council Trout Unlimited,,MD,Regional,http://www.midatlanticcouncil.tu.org ,1000 - 4999
-77.841206,39.538607,Upper Potomac Riverkeeper,,MD,Regional,http://www.potomacriverkeepernetwork.org,1000 - 4999
-76.439998,39.038689,SouthWings,,MD,Regional,http://www.southwings.org,0 - 499
-77.037598,38.905805,Potomac Riverkeeper Network,,DC,Regional,http://www.potomacriverkeepernetwork.org,1000 - 4999
-76.483066,38.969029,Alliance for the Chesapeake Bay,,MD,Regional,http://www.allianceforthebay.org,50000 +
-76.932616,38.938237,EcoLatinos,,MD,Regional,0,0 - 499
-76.795279,39.26786,Chesapeake Stormwater Network,,MD,Regional,http://www.chesapeakestormwater.net,5000 - 9999
-77.031418,38.994985,Potomac Conservancy,,MD,Regional,http://www.potomac.org,10000 - 49999
-76.483066,38.969029,Interfaith Partners for the Chesapeake,,MD,Regional,http://www.interfaithchesapeake.org,1000 - 4999
-77.001408,38.897349,Coalition for Smarter Growth,,DC,Regional,http://www.smartergrowth.net,10000 - 49999
-78.519843,39.731649,Ridge and Valley Streamkeepers,,PA,Regional,http://www.streamkeepers.org,1000 - 4999
-77.086489,38.985342,Rock Creek Conservancy,,MD,Regional,http://www.rockcreekconservancy.org,1000 - 4999
-76.462698,38.93251,Chesapeake Bay Foundation,,MD,Regional,http://www.cbf.org,50000 +
-77.014006,38.975287,Chesapeake Climate Action Network,,MD,Regional,http://www.ccan.org,10000 - 49999
-76.915226,40.239597,FracTracker,,PA,Regional,http://www.fracktracker.org,5000 - 9999
-80.454179,37.208725,Chesapeake Foodshed Network,,VA,Regional,https://chesapeakefoodshed.net/,0 - 499
-77.03748,38.902171,Green Muslims,,DC,Regional,http://www.greenmuslims.org,1000 - 4999
-77.019203,38.991851,Potomac Riverkeeper,,MD,Regional,http://www.potomacriverkeepernetwork.org/,500-999
-107.01,37.27,Waterkeepers Chesapeake,,MD,Regional,http://www.waterkeeperschesapeake.com,0-499
