members,organization,region,state,website,lon,lat
500 - 999,Anacostia Wastershed Society,Regional,MD,http://www.anacostiaws.org,-76.94109,38.941257
5000 - 9999,Mid-Atlantic Youth Anglers & Outdoors Program,Regional,PA,http://www.midatlanticyouthanglers.com,-75.1517,39.949652
0 - 499,Chesapeake Legal Alliance,Regional,MD,http://www.chesapeakelegal.org,-76.494142,38.977405
5000 - 9999,Interfaith Power & Light,Regional,DC,http://www.gwipl.org,-77.010999,38.944918
0 - 499,Anacostia Riverkeeper,Regional,DC,http://www.anacostiriverkeeper.org,-76.998638,38.87545
0 - 499,Upstream Alliance,Regional,MD,http://www.upstreamalliance.org,-76.510979,39.001229
10000 - 49999,Audubon Maryland/DC,Regional,MD,http://md.audubon.org,-76.576055,39.292048
1000 - 4999,Southern Environmental Law Center,Regional,DC,http://www.southernenvironment.org,-77.012856,38.893315
,Environmental Concern,Regional,MD,http://www.wetland.org,-76.224516,38.780263
1000 - 4999,Waterkeepeers Chesapeake,Regional,MD,http://www.waterkeeperschesapeake.com,-77.01,38.979999
5000 - 9999,Appalachian Voices,Regional,VA,http://appvoices.org/,-78.474691,38.031063
1000 - 4999,Mid-Atlantic Council Trout Unlimited,Regional,MD,http://www.midatlanticcouncil.tu.org ,-76.610635,39.400464
1000 - 4999,Upper Potomac Riverkeeper,Regional,MD,http://www.potomacriverkeepernetwork.org,-77.841206,39.538607
0 - 499,SouthWings,Regional,MD,http://www.southwings.org,-76.439998,39.038689
1000 - 4999,Potomac Riverkeeper Network,Regional,DC,http://www.potomacriverkeepernetwork.org,-77.037598,38.905805
50000 +,Alliance for the Chesapeake Bay,Regional,MD,http://www.allianceforthebay.org,-76.483066,38.969029
0 - 499,EcoLatinos,Regional,MD,,-76.932616,38.938237
5000 - 9999,Chesapeake Stormwater Network,Regional,MD,http://www.chesapeakestormwater.net,-76.795279,39.26786
10000 - 49999,Potomac Conservancy,Regional,MD,http://www.potomac.org,-77.031418,38.994985
1000 - 4999,Interfaith Partners for the Chesapeake,Regional,MD,http://www.interfaithchesapeake.org,-76.483066,38.969029
10000 - 49999,Coalition for Smarter Growth,Regional,DC,http://www.smartergrowth.net,-77.001408,38.897349
1000 - 4999,Ridge and Valley Streamkeepers,Regional,PA,http://www.streamkeepers.org,-78.519843,39.731649
1000 - 4999,Rock Creek Conservancy,Regional,MD,http://www.rockcreekconservancy.org,-77.086489,38.985342
50000 +,Chesapeake Bay Foundation,Regional,MD,http://www.cbf.org,-76.462698,38.93251
10000 - 49999,Chesapeake Climate Action Network,Regional,MD,http://www.ccan.org,-77.014006,38.975287
5000 - 9999,FracTracker,Regional,PA,http://www.fracktracker.org,-76.915226,40.239597
0 - 499,Chesapeake Foodshed Network,Regional,VA,https://chesapeakefoodshed.net/,-80.454179,37.208725
1000 - 4999,Green Muslims,Regional,DC,http://www.greenmuslims.org,-77.037480,38.902171
500-999,Potomac Riverkeeper,Regional,MD,http://www.potomacriverkeepernetwork.org/,-77.019203,38.991851
0 - 499,Waterkeepers Chesapeake,Regional,MD,http://www.waterkeeperschesapeake.com,-107.010000,37.270000
0 - 499,Southeastern Rural Community Assistance Project,Regional,VA,,-79.947786,37.2717004
