members,organization,region,state,website,lon,lat
0 - 499,Friends of the Rivers of Virginia,State,VA,http://www.forva.org,-79.941426,37.27097
10000 - 49999,New York League of Conservation Voters,State,NY,http://nylcv.org/,-74.011631,40.706281
1000 - 4999,Water Defense,State,NY,https://waterdefense.org/,-74.828216,41.900366
1000 - 4999,West Virginia Rivers Coalition,State,WV,http://www.wvrivers.org/,-81.598515,38.328228
10000 - 49999,Maryland League of Conservation Voters,State,MD,http://www.mdlcv.org,-76.490139,38.979668
,Scenic Virginia,State,VA,http://www.scenicvirginia.org,-77.444202,37.542965
,Maryland Environmental Health Network,State,MD,http://www.mdehn.org/,-76.615487,39.299802
0 - 499,Citizen Shale,State,MD,http://citizenshale.org,-79.406711,39.407874
1000 - 4999,Catskill Mountainkeeper,State,NY,http://www.catskillmountainkeeper.org,-74.886274,41.808421
0 - 499,Wild Virginia,State,VA,www.wildvirginia.org,-78.478546,38.029465
5000 - 9999,Environment Virginia,State,VA,http://www.environmentvirginia.org,-77.435049,37.537271
0 - 499,Save Western Maryland,State,MD,http://www.savewesternmaryland.com/,-79.425377,39.375842
5000 - 9999,Delaware Nature Society,State,DE,http://www.delawarenaturesociety.org/,-75.660331,39.798101
0 - 499,Maryland Pesticide Network,State,MD,http://www.mdpestnet.org/,-76.548988,39.008481
1000 - 4999,Environment Maryland,State,MD,http://www.environmentmaryland.org,-76.615631,39.326723
0 - 499,Laurel Mountain Preservation Association,State,WV,http://www.laurelmountainwatershedassociation.org,-79.810346,39.068437
5000 - 9999,Envision Frederick County ,State,MD,https://envisionfrederickcounty.org/,-77.485158,39.595565
10000 - 49999,Sierra Club - Virginia Chapter,State,VA,http://www.virginia.sierraclub.org,-77.43915,37.541557
1000 - 4999,New York Council Trout Unlimited ,State,NY,http://www.nytu.org/,-73.976249,41.90537
10000 - 49999,Virginia League of Conservation Voters,State,VA,http://www.valcv.org,-77.439035,37.540128
0 - 499,Trash Free Maryland Alliance,State,MD,http://www.trashfreemaryland.org/,-77.042655,38.686954
,Lower Shore Land Trust,State,MD,http://www.lowershorelandtrust.org,-75.219607,38.334179
1000 - 4999,Trout Unlimited,State,VA,http://www.tu.org,-77.069066,38.896699
,West Virginia Environmental Council,State,WV,http://www.wvecouncil.org,-81.65908,38.14183
0 - 499,Virginia Conservation Network,State,VA,http://www.vcnva.org,-77.440362,37.540363
,Clean Air Council,State,PA,http://www.cleanair.org,-75.171986,39.950722
5000 - 9999,Environment New York,State,NY,http://www.environmentnewyork.org,-73.983839,40.751993
,West Virginia Citizen Action Group,State,WV,http://www.wvcag.org,-81.620461,38.345884
,Maryland Nonprofits,State,MD,http://www.marylandnonprofits.org/Home.aspx,-76.640309,39.332405
,Conservation Voters of Pennsylvania,State,PA,http://conservationpa.org,-75.174967,39.953186
10000 - 49999,Virginia Organizing,State,VA,http://virginia-organizing.org/,-78.483898,38.038705
,The Environmental Justice Center of Chestnut Hill United Church,State,PA,http://www.chestnuthillumc.org,-75.211539,40.078036
0 - 499,Pennsylvania Council of Churches,State,PA,http://www.pachurches.org,-76.819671,40.283356
1000 - 4999,Sierra Club - Maryland Chapter,State,MD,http://maryland.sierraclub.org/,-76.938996,38.980398
1000 - 4999,Delaware Center for Horticulture,State,DE,http://TheDCH.org,-75.560408,39.758804
0 - 499,Maryland Citizens for Safe Energy,State,MD,http://www.marylandforsafeenergy.org,-76.626623,39.368178
,Protecting Our Waters,State,PA,http://protectingourwaters.com,-75.217443,39.946232
0 - 499,Maryland Conservation Council,State,MD,http://www.mdconservationcouncil.org/,-76.665012,39.360918
10000 - 49999,Environmental Advocates of New York,State,NY,http://www.eany.org/,-73.764833,42.652231
1000 - 4999,Pennsylvania Council of Trout Unlimited,State,PA,http://www.patrout.org,-77.778334,40.913394
10000 - 49999,Sierra Club - Pennsylvania Chapter,State,PA,http://pennsylvania.sierraclub.org/,-77.008587,40.214256
50000 +,PennEnvironment,State,PA,http://www.pennenvironment.org,-75.165276,39.949199
5000 - 9999,Virginia Aquarium & Marine Science Center,State,VA,http://www.virginiaaquarium.com,-75.983436,36.821355
5000 - 9999,Lutheran Advocacy Ministry,State,PA,,-73.989308,40.741895
10000 - 49999,"10,000 Friends of Pennsylvania",State,PA,,-76.8829619,40.2619774
